Stego-method;stego_method_5
Attack type;01_insert_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;0;10;5
Number of such states (%);0.0;0.0;0.0;66.67;33.33

Attack type;02_delete_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;3;12;0
Number of such states (%);0.0;0.0;20.0;80.0;0.0

Attack type;03_edit_modify_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;3;12;0
Number of such states (%);0.0;0.0;20.0;80.0;0.0

Attack type;04_format_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;15;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;05_impersonation_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;0;0;15
Number of such states (%);0.0;0.0;0.0;0.0;100.0

Attack type;06_save_as_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;13;0;2;0;0
Number of such states (%);86.67;0.0;13.33;0.0;0.0

Attack type;07_copy_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;15;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;08_retype_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;15;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;09_clear_format_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;13;0;2;0;0
Number of such states (%);86.67;0.0;13.33;0.0;0.0

Attack type;10_document_inspector_attack
Number of documents attacked;15
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;13;0;2;0;0
Number of such states (%);86.67;0.0;13.33;0.0;0.0

