Data set;clean
Document Name;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;;;;Single Char type frequencies (single run, %);;;;Single Char type frequencies (total runs, %);;;
;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other
49833f5cf0647c2295e3b3bf11a68ec47a813414;50;267;18.73;0;0;0;50;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.73
5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;0;11;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;66;198;33.33;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;33.33
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;55;736;7.47;1;2;21;31;1.82;3.64;38.18;56.36;0.14;0.27;2.85;4.21
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;16;80;20.0;0;0;0;16;0.0;0.0;0.0;100.0;0.0;0.0;0.0;20.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;7;94;7.45;0;0;3;4;0.0;0.0;42.86;57.14;0.0;0.0;3.19;4.26
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;12;175;6.86;0;0;0;12;0.0;0.0;0.0;100.0;0.0;0.0;0.0;6.86
f55a8d69c6047f9037f79225c367766987e25f2b;66;164;40.24;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;40.24
f997183fa6bf1ef75e31406d98f025c16e527d20;187;1903;9.83;0;0;10;177;0.0;0.0;5.35;94.65;0.0;0.0;0.53;9.3
fsi-2010;0;2848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
fsi-2019;0;35700;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
fsi-2021;0;2880;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
fsi-2022-download;0;56848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;0;9;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0
